,depth,p_sex,p_age,count,mean,std,min,Q1,median_growth,Q3,max,median_wage,category
257,21,1,41,6.0,518.33,257.09,340.0,362.5,7.43,565.0,1000.0,400.0,2_depth
258,21,1,42,2.0,425.0,35.36,400.0,412.5,4.59,437.5,450.0,425.0,2_depth
259,21,1,43,4.0,375.0,64.55,300.0,337.5,0.0,412.5,450.0,375.0,2_depth
260,21,1,44,5.0,356.0,93.97,270.0,300.0,12.62,400.0,500.0,310.0,2_depth
261,21,1,45,4.0,412.5,103.08,300.0,337.5,8.67,500.0,500.0,425.0,2_depth
262,21,1,46,5.0,310.0,123.29,200.0,200.0,6.24,330.0,500.0,320.0,2_depth
263,21,1,47,5.0,406.0,146.22,200.0,340.0,7.46,540.0,550.0,400.0,2_depth
264,21,1,48,4.0,416.25,157.45,250.0,325.0,8.36,488.75,620.0,397.5,2_depth
265,21,1,49,4.0,412.5,128.68,250.0,347.5,7.4,490.0,550.0,425.0,2_depth
266,21,1,50,4.0,505.0,137.72,380.0,432.5,6.94,542.5,700.0,470.0,2_depth
267,21,1,51,2.0,335.0,91.92,270.0,302.5,5.98,367.5,400.0,335.0,2_depth
268,21,1,52,3.0,380.0,125.3,250.0,320.0,4.7,445.0,500.0,390.0,2_depth
269,21,1,53,2.0,425.0,247.49,250.0,337.5,5.21,512.5,600.0,425.0,2_depth
270,21,1,54,2.0,437.5,265.17,250.0,343.75,4.86,531.25,625.0,437.5,2_depth
271,21,1,55,1.0,300.0,,300.0,300.0,4.61,300.0,300.0,300.0,2_depth
272,21,1,59,1.0,60.0,,60.0,60.0,,60.0,60.0,60.0,2_depth
273,21,1,60,2.0,295.0,289.91,90.0,192.5,50.0,397.5,500.0,295.0,2_depth
274,21,1,61,1.0,90.0,,90.0,90.0,22.47,90.0,90.0,90.0,2_depth
275,21,1,62,1.0,90.0,,90.0,90.0,14.47,90.0,90.0,90.0,2_depth
276,21,1,63,2.0,180.0,127.28,90.0,135.0,10.67,225.0,270.0,180.0,2_depth
277,21,1,64,3.0,283.33,202.07,100.0,175.0,1.67,375.0,500.0,250.0,2_depth
278,21,1,65,3.0,316.67,256.58,100.0,175.0,8.89,425.0,600.0,250.0,2_depth
